tourism,name,addr_city
gallery,Beau Dégât [bo.de.ga],San Cristóbal de Las Casas
gallery,La Galería,San Cristóbal de Las Casas
gallery,La Tozi Galeria Hotel,San Cristóbal de las Casas
gallery,Etéreo Taller,San Cristobal de las Casas Chiapas
gallery,Galería MUY,San Cristóbal de las Casas
museum,Museo Mesoamericano del Jade,San Cristóbal de Las Casas
gallery,"La Enseñanza, Casa De La Ciudad",San Cristóbal de las Casas
gallery,Enzué,San Cristóbal de las Casas
museum,Museo de historia,cardenas
information,Organización Ecoturistica de San Miguel del Valle (Oreco),San Miguel del Valle
artwork,Zeny Fuentes & Reyna,oaxaca
camp_site,Overlander Oasis,Santa Maria del Tule
artwork,Letrero El Tule,Santa María del Tule
gallery,GALERIA 910,Oaxaca de Juárez
museum,Museo de Arte Prehispánico de México Rufino Tamayo,Oaxaca de Juárez
information,Expediciones Yaacuetzi Cuajimoloyas - Expediciones Sierra Norte,San Antonio Cuajimoloyas
attraction,Sinfonía del Mar,Acapulco
chalet,Piedra de Agua,Tamazulápam Del Progreso
attraction,parque,Ciudad de Ajalpan
attraction,Dolphin Quest,Sandys
camp_site,Yax Ha Resort & Explore,Chetumal
viewpoint,NAO Japanese Fusion,Bacalar
artwork,Damajuana Mezcaleria,Bacalar
camp_site,Rancho Playa Paraiso,Río Indio
attraction,Cueva de las Serpientes Colgantes,Kantemó
information,Cueva de las Serpientes Colgantes,Kantemó
attraction,Cozumel Bar Hop Tour,San Miguel de Cozumel
camp_site,Don Renzo's Cavelands,Chemuyil
attraction,"Grutas y Cenote ""U Najil Toh""",Valladolid
attraction,Exconvento de San Bernardino de Siena,Valladolid
attraction,Salón de los murales,Valladolid
attraction,Mercado de Artesanías Centro,Valladolid
yes,Valentin Imperial Riviera Maya,Playa del Carmen Solidaridad
attraction,Diveshop Diverspoint,PuertoMorelos
yes,La Loteria taqueria,Cancun
attraction,Cenote Hubikú,Temozón
attraction,Cenote Sak Awa,Dzalbay
attraction,"Catacumbas ""Los Tres Reyes""",Tizimín
museum,Museo Salvador Ferrando,Tlacotalpan
attraction,EcoAldea Tamarindos,"Mata de Agua, Municipio Camarón de Tejeda, Veracruz, México."
chalet,Cascadas El Paraiso,Chilapa
gallery,Casa Nueve Workósfera,Puebla
museum,Capilla del Arte,Puebla
museum,Museo de Arte Religioso Ex Convento de Santa Mónica,Puebla
chalet,Centro Ecoturístico Citlaltepetl,Tlachichuca
Articulos_Para_Carnaval,Merceria MEMO,Papalotla
yes,Cumbre 7. Expediciones,"San Pedro Nexapa, Amecameca"
